,0
0,1.902
1,1.902
2,1.902
3,1.902
4,1.897
5,1.897
6,1.897
7,1.902
8,1.902
9,1.902
10,1.902
11,1.902
12,1.902
13,1.897
14,1.897
15,1.902
16,1.897
17,1.897
18,1.897
19,1.897
20,1.897
21,1.897
22,1.892
23,1.892
24,1.892
25,1.886
26,1.892
27,1.892
28,1.897
29,1.897
30,1.897
31,1.892
32,1.892
33,1.897
34,1.897
35,1.897
36,1.892
37,1.892
38,1.892
39,1.892
40,1.892
41,1.892
42,1.892
43,1.892
44,1.892
45,1.892
46,1.892
47,1.892
48,1.886
49,1.881
50,1.881
51,1.881
52,1.881
53,1.886
54,1.886
55,1.886
56,1.892
57,1.886
58,1.892
59,1.886
60,1.886
61,1.886
62,1.886
63,1.886
64,1.881
65,1.881
66,1.886
67,1.881
68,1.881
69,1.886
70,1.886
71,1.886
72,1.886
73,1.886
74,1.881
75,1.881
76,1.881
77,1.881
78,1.881
79,1.876
80,1.876
81,1.876
82,1.876
83,1.876
84,1.876
85,1.876
86,1.881
87,1.881
88,1.876
89,1.871
90,1.871
91,1.866
92,1.866
93,1.861
94,1.861
95,1.866
96,1.866
97,1.866
98,1.856
99,1.856
100,1.856
101,1.856
102,1.856
103,1.856
104,1.856
105,1.856
106,1.856
107,1.856
108,1.856
109,1.856
110,1.861
111,1.866
112,1.871
113,1.871
114,1.876
115,1.876
116,1.881
117,1.881
118,1.881
119,1.881
120,1.876
121,1.876
122,1.871
123,1.866
124,1.866
125,1.866
126,1.866
127,1.871
128,1.871
129,1.876
130,1.876
131,1.876
132,1.876
133,1.876
134,1.881
135,1.886
136,1.886
137,1.892
138,1.886
139,1.886
140,1.886
141,1.886
142,1.886
143,1.886
144,1.886
145,1.886
146,1.886
147,1.881
148,1.881
149,1.881
150,1.881
151,1.876
152,1.881
153,1.886
154,1.892
155,1.892
156,1.897
157,1.892
158,1.886
159,1.886
160,1.886
161,1.886
162,1.886
163,1.886
164,1.886
165,1.881
166,1.881
167,1.886
168,1.886
169,1.886
170,1.881
171,1.876
172,1.876
173,1.876
174,1.876
175,1.876
176,1.876
177,1.876
178,1.876
179,1.876
180,1.886
181,1.886
182,1.892
183,1.892
184,1.892
185,1.892
186,1.886
187,1.886
188,1.886
189,1.886
190,1.886
191,1.886
192,1.881
193,1.881
194,1.871
195,1.876
196,1.866
197,1.861
198,1.861
199,1.861
200,1.861
201,1.856
202,1.856
203,1.861
204,1.861
205,1.861
206,1.861
207,1.866
208,1.866
209,1.866
210,1.866
211,1.871
212,1.876
213,1.876
214,1.876
215,1.881
216,1.881
217,1.881
218,1.881
219,1.876
220,1.881
221,1.881
222,1.881
223,1.881
224,1.881
225,1.881
226,1.881
227,1.881
228,1.881
229,1.881
230,1.881
231,1.876
232,1.876
233,1.881
234,1.876
235,1.876
236,1.876
237,1.881
238,1.876
239,1.876
240,1.876
241,1.876
242,1.871
243,1.871
244,1.871
245,1.866
246,1.866
247,1.871
248,1.871
249,1.871
250,1.871
251,1.871
252,1.871
253,1.871
254,1.871
255,1.871
256,1.871
257,1.871
258,1.866
259,1.866
260,1.866
261,1.866
262,1.866
263,1.871
264,1.866
265,1.866
266,1.871
267,1.876
268,1.876
269,1.876
270,1.881
271,1.876
272,1.881
273,1.886
274,1.886
275,1.881
276,1.881
277,1.881
278,1.881
279,1.886
280,1.886
281,1.886
282,1.892
283,1.892
284,1.892
285,1.892
286,1.892
287,1.892
288,1.886
289,1.886
290,1.884
291,1.884
292,1.884
293,1.884
294,1.884
295,1.879
296,1.884
297,1.879
298,1.879
299,1.874
300,1.874
301,1.874
302,1.874
303,1.874
304,1.874
305,1.874
306,1.869
307,1.864
308,1.859
309,1.859
310,1.859
311,1.859
312,1.854
313,1.854
314,1.854
315,1.854
316,1.849
317,1.849
318,1.849
319,1.854
320,1.854
321,1.854
322,1.859
323,1.854
324,1.854
325,1.854
326,1.854
327,1.854
328,1.859
329,1.859
330,1.854
331,1.854
332,1.854
333,1.854
334,1.854
335,1.854
336,1.854
337,1.859
338,1.864
339,1.864
340,1.859
341,1.859
342,1.859
343,1.859
344,1.859
345,1.864
346,1.859
347,1.854
348,1.854
349,1.854
350,1.859
351,1.859
352,1.859
353,1.854
354,1.849
355,1.844
356,1.849
357,1.849
358,1.849
359,1.854
360,1.859
361,1.854
362,1.854
363,1.854
364,1.859
365,1.859
366,1.859
367,1.859
368,1.859
369,1.859
370,1.864
371,1.864
372,1.864
373,1.869
374,1.864
375,1.869
376,1.869
377,1.869
378,1.869
379,1.869
380,1.869
381,1.879
382,1.879
383,1.879
384,1.879
385,1.879
386,1.874
387,1.874
388,1.884
389,1.889
390,1.889
391,1.884
392,1.884
393,1.889
394,1.889
395,1.889
396,1.889
397,1.889
398,1.884
399,1.884
400,1.884
401,1.884
402,1.884
403,1.879
404,1.879
405,1.874
406,1.879
407,1.884
408,1.889
409,1.889
410,1.889
411,1.889
412,1.889
413,1.889
414,1.889
415,1.889
416,1.884
417,1.884
418,1.879
419,1.884
420,1.884
421,1.884
422,1.889
423,1.889
424,1.889
425,1.884
426,1.884
427,1.884
428,1.884
429,1.884
430,1.884
431,1.884
432,1.879
433,1.879
434,1.879
435,1.879
436,1.879
437,1.874
438,1.879
439,1.879
440,1.879
441,1.879
442,1.879
443,1.879
444,1.879
445,1.884
446,1.879
447,1.879
448,1.879
449,1.879
450,1.879
451,1.874
452,1.874
453,1.874
454,1.879
455,1.879
456,1.874
457,1.874
458,1.874
459,1.874
460,1.874
461,1.879
462,1.879
463,1.884
464,1.879
465,1.874
466,1.879
467,1.879
468,1.879
469,1.879
470,1.879
471,1.884
472,1.879
473,1.874
474,1.879
475,1.884
476,1.884
477,1.884
478,1.884
479,1.889
480,1.884
481,1.884
482,1.884
483,1.884
484,1.884
485,1.884
486,1.879
487,1.879
488,1.879
489,1.879
490,1.879
491,1.879
492,1.879
493,1.884
494,1.884
495,1.884
496,1.889
497,1.889
498,1.889
499,1.889
500,1.889
501,1.894
502,1.894
503,1.894
504,1.894
505,1.899
506,1.899
507,1.899
508,1.899
509,1.899
510,1.899
511,1.905
512,1.905
513,1.905
514,1.91
515,1.91
516,1.915
517,1.91
518,1.91
519,1.91
520,1.905
521,1.905
522,1.905
523,1.899
524,1.899
525,1.899
526,1.899
527,1.899
528,1.899
529,1.905
530,1.905
531,1.905
532,1.899
533,1.905
534,1.905
535,1.905
536,1.899
537,1.899
538,1.899
539,1.899
540,1.899
541,1.894
542,1.894
543,1.894
544,1.894
545,1.894
546,1.894
547,1.894
548,1.894
549,1.894
550,1.894
551,1.894
552,1.889
553,1.889
554,1.889
555,1.889
556,1.889
557,1.889
558,1.894
559,1.894
560,1.894
561,1.894
562,1.894
563,1.894
564,1.899
565,1.899
566,1.899
567,1.894
568,1.899
569,1.894
570,1.894
571,1.889
572,1.884
573,1.884
574,1.889
575,1.884
576,1.874
577,1.874
578,1.874
579,1.874
580,1.874
581,1.879
582,1.879
583,1.879
584,1.884
585,1.884
586,1.889
587,1.884
588,1.884
589,1.884
590,1.884
591,1.889
592,1.884
593,1.884
594,1.889
595,1.889
596,1.889
597,1.889
598,1.889
599,1.894
600,1.894
601,1.889
602,1.889
603,1.889
604,1.889
605,1.889
606,1.894
607,1.894
608,1.894
609,1.894
610,1.899
611,1.899
612,1.899
613,1.899
614,1.899
615,1.899
616,1.899
617,1.894
618,1.894
619,1.894
620,1.894
621,1.889
622,1.889
623,1.889
624,1.894
625,1.894
626,1.894
627,1.889
628,1.889
629,1.889
630,1.889
631,1.889
632,1.889
633,1.879
634,1.874
635,1.874
636,1.874
637,1.874
638,1.874
639,1.874
640,1.874
641,1.874
642,1.869
643,1.869
644,1.874
645,1.874
646,1.874
647,1.869
648,1.874
649,1.874
650,1.874
651,1.879
652,1.879
653,1.884
654,1.884
655,1.884
656,1.884
657,1.884
658,1.884
659,1.884
660,1.884
661,1.884
662,1.889
663,1.889
664,1.889
665,1.889
666,1.889
667,1.889
668,1.889
669,1.889
670,1.884
671,1.884
672,1.889
673,1.894
674,1.894
675,1.889
676,1.884
677,1.884
678,1.884
679,1.889
680,1.889
681,1.889
682,1.889
683,1.889
684,1.889
685,1.889
686,1.889
687,1.884
688,1.884
689,1.884
690,1.884
691,1.884
692,1.879
693,1.879
694,1.879
695,1.874
696,1.874
697,1.874
698,1.879
699,1.879
700,1.879
701,1.879
702,1.879
703,1.874
704,1.874
705,1.884
706,1.884
707,1.884
708,1.884
709,1.884
710,1.889
711,1.884
712,1.889
713,1.889
714,1.889
715,1.884
716,1.889
717,1.889
718,1.884
719,1.889
720,1.889
721,1.889
722,1.889
723,1.884
724,1.884
725,1.884
726,1.889
727,1.889
728,1.884
729,1.884
730,1.884
731,1.884
732,1.884
733,1.879
734,1.879
735,1.874
736,1.869
737,1.874
738,1.879
739,1.879
740,1.874
741,1.874
742,1.874
743,1.874
744,1.874
745,1.874
746,1.874
747,1.874
748,1.869
749,1.869
750,1.869
751,1.874
752,1.874
753,1.874
754,1.874
755,1.879
756,1.879
757,1.879
758,1.879
759,1.879
760,1.879
761,1.879
762,1.879
763,1.879
764,1.874
765,1.874
766,1.869
767,1.864
768,1.864
769,1.869
770,1.869
771,1.869
772,1.874
773,1.874
774,1.874
775,1.874
776,1.874
777,1.874
778,1.874
779,1.874
780,1.874
781,1.874
782,1.874
783,1.874
784,1.874
785,1.874
786,1.874
787,1.869
788,1.874
789,1.879
790,1.869
791,1.874
792,1.874
793,1.874
794,1.874
795,1.874
796,1.874
797,1.874
798,1.874
799,1.874
800,1.869
801,1.864
802,1.864
803,1.864
804,1.869
805,1.869
806,1.869
807,1.869
808,1.864
809,1.859
810,1.859
811,1.859
812,1.859
813,1.864
814,1.864
815,1.869
816,1.869
817,1.864
818,1.869
819,1.874
820,1.874
821,1.869
822,1.869
